M1, M2
1.00000, 0.70920
1.00000, 0.70960
1.00000, 0.71300
1.00000, 0.71440
1.00000, 0.71380
1.00000, 0.71480
1.00000, 0.71740
1.00000, 0.71940
1.00000, 0.71920
1.00000, 0.72200
1.00000, 0.72520
1.00000, 0.72500
1.00000, 0.72320
1.00000, 0.72500
1.00000, 0.72560
1.00000, 0.72780
1.00000, 0.72860
1.00000, 0.73120
1.00000, 0.73260
1.00000, 0.73360
1.00000, 0.73540
1.00000, 0.73680
1.00000, 0.73880
1.00000, 0.74080
1.00000, 0.74080
1.00000, 0.73960
1.00000, 0.74040
1.00000, 0.73940
1.00000, 0.74100
1.00000, 0.74100
1.00000, 0.74100
1.00000, 0.73960
1.00000, 0.74180
1.00000, 0.74260
1.00000, 0.74480
1.00000, 0.74500
1.00000, 0.74480
1.00000, 0.74260
1.00000, 0.74480
1.00000, 0.74440
1.00000, 0.74700
1.00000, 0.74420
1.00000, 0.74580
1.00000, 0.74620
1.00000, 0.74620
1.00000, 0.74660
1.00000, 0.74700
1.00000, 0.74680
1.00000, 0.75100
1.00000, 0.75080
1.00000, 0.75180
1.00000, 0.75260
1.00000, 0.75440
1.00000, 0.75620
1.00000, 0.75540
1.00000, 0.75560
1.00000, 0.75780
1.00000, 0.75880
1.00000, 0.75940
1.00000, 0.75800
1.00000, 0.76020
1.00000, 0.76020
1.00000, 0.75880
1.00000, 0.75920
1.00000, 0.76020
1.00000, 0.76040
1.00000, 0.76220
1.00000, 0.76160
1.00000, 0.76060
1.00000, 0.76200
1.00000, 0.76020
1.00000, 0.75940
1.00000, 0.76120
1.00000, 0.76160
1.00000, 0.76280
1.00000, 0.76540
1.00000, 0.76600
1.00000, 0.76560
1.00000, 0.76900
1.00000, 0.76640
1.00000, 0.76820
1.00000, 0.76740
1.00000, 0.77080
1.00000, 0.77360
1.00000, 0.77580
1.00000, 0.77640
1.00000, 0.77620
1.00000, 0.77580
1.00000, 0.77520
1.00000, 0.77540
1.00000, 0.77520
1.00000, 0.77540
1.00000, 0.77720
1.00000, 0.77280
1.00000, 0.77340
1.00000, 0.77440
1.00000, 0.77680
1.00000, 0.78020
1.00000, 0.78020
1.00000, 0.78280
1.00000, 0.78480
1.00000, 0.78820
1.00000, 0.78880
1.00000, 0.79260
1.00000, 0.79140
1.00000, 0.79220
1.00000, 0.79220
1.00000, 0.79260
1.00000, 0.79400
1.00000, 0.79720
1.00000, 0.79780
1.00000, 0.79920
1.00000, 0.79820
1.00000, 0.80240
1.00000, 0.80540
1.00000, 0.80680
1.00000, 0.80820
1.00000, 0.80700
1.00000, 0.80480
1.00000, 0.80600
1.00000, 0.80480
1.00000, 0.80600
1.00000, 0.80560
1.00000, 0.80740
1.00000, 0.80580
1.00000, 0.80540
1.00000, 0.80560
1.00000, 0.80580
1.00000, 0.80720
1.00000, 0.80660
1.00000, 0.80700
1.00000, 0.80980
1.00000, 0.81180
1.00000, 0.80940
1.00000, 0.80640
1.00000, 0.80820
1.00000, 0.80980
1.00000, 0.80960
1.00000, 0.81080
1.00000, 0.81480
1.00000, 0.81600
1.00000, 0.81660
1.00000, 0.81860
1.00000, 0.82160
1.00000, 0.82400
1.00000, 0.82440
1.00000, 0.82760
1.00000, 0.83020
1.00000, 0.83140
1.00000, 0.83460
1.00000, 0.83400
1.00000, 0.83460
1.00000, 0.83580
1.00000, 0.83560
1.00000, 0.83600
1.00000, 0.83820
1.00000, 0.83880
1.00000, 0.83960
1.00000, 0.83920
1.00000, 0.83900
1.00000, 0.83800
1.00000, 0.84140
